"","X","hitid","assignmentaccepttime","Answer.Qasmm1","Answer.Qasmm2","Answer.acrossLabel","Answer.cond","Answer.Qasm2","Answer.Qasm1","Answer.withinLabel","Answer.label","Answer.Qwsmm1","Answer.Qwsmm2","Answer.sample","Answer.acrossTarget","Answer.mainNum","Answer.acrossOther","Answer.click1","Answer.click2","Answer.Qwsm1","Answer.question1","Answer.Qwsm2","Answer.question2","Answer.withinTarget","Answer.dist","Answer.withinOther","Answer.Qacheck","Answer.Qwcheck","runNum","workerids"
"91",91,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 20:30:11 PDT 2012",0,0,"""fep""","""1""",1,1,"""blicket""",1,0,0,0,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,3,"90"
"92",92,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 20:45:01 PDT 2012",1,1,"""fep""","""2""",1,1,"""wug""",1,1,1,1,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,3,"91"
"93",93,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 21:13:50 PDT 2012",1,1,"""blicket""","""1""",1,1,"""fep""",1,1,1,0,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,3,"92"
"94",94,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 21:41:05 PDT 2012",0,0,"""blicket""","""2""",0,1,"""tupa""",1,0,1,1,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,3,"93"
"95",95,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 22:18:27 PDT 2012",0,0,"""tupa""","""1""",1,1,"""fep""",1,0,0,0,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,3,"94"
"96",96,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 22:41:22 PDT 2012",1,0,"""tupa""","""2""",1,1,"""blicket""",1,0,0,1,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,3,"95"
"97",97,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 22:41:31 PDT 2012",1,1,"""wug""","""2""",1,1,"""fep""",1,1,1,1,"""b""",13,"""a""","""correct""","""correct""",0,TRUE,0,TRUE,"""c""","[]","""d""",0,0,3,"96"
"98",98,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 23:07:25 PDT 2012",0,0,"""tupa""","""1""",1,1,"""wug""",1,0,0,0,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,3,"5"
"99",99,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 23:17:12 PDT 2012",0,0,"""fep""","""1""",1,1,"""wug""",1,0,0,0,"""d""",13,"""c""","""correct""","""correct""",0,TRUE,0,TRUE,"""a""","[]","""b""",0,0,3,"97"
"100",100,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 23:46:07 PDT 2012",1,1,"""fep""","""2""",1,1,"""wug""",1,1,1,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,3,"98"
"101",101,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:04:12 PDT 2012",0,0,"""tupa""","""4""",1,1,"""blicket""",1,0,0,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"99"
"102",102,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:04:51 PDT 2012",0,0,"""fep""","""4""",1,0,"""blicket""",1,0,0,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,0,TRUE,"""b""","[]","""c""",0,0,4,"100"
"103",103,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:05:53 PDT 2012",0,0,"""blicket""","""4""",1,1,"""wug""",1,1,0,1,"""c""",13,"""a""","""false""","""false""",0,TRUE,0,TRUE,"""b""","[]","""d""",0,0,4,"101"
"104",104,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:06:46 PDT 2012",0,0,"""NA""","""3""",1,0,"""NA""",0,0,0,1,"""a""",13,"""c""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""d""",0,0,4,"102"
"105",105,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:07:39 PDT 2012",1,0,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"103"
"106",106,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:08:28 PDT 2012",0,0,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,4,"104"
"107",107,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:08:41 PDT 2012",1,1,"""tupa""","""2""",1,1,"""fep""",1,1,1,0,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""d""",0,0,4,"105"
"108",108,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:11:46 PDT 2012",0,1,"""tupa""","""2""",1,1,"""wug""",1,1,1,0,"""b""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"106"
"109",109,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:20:13 PDT 2012",1,0,"""tupa""","""4""",1,1,"""wug""",1,0,0,1,"""a""",13,"""d""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"107"
"110",110,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:21:20 PDT 2012",1,1,"""wug""","""4""",1,1,"""tupa""",1,1,1,1,"""d""",13,"""c""","""false""","""false""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,4,"108"
"111",111,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:29:01 PDT 2012",1,1,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""b""",0,0,4,"109"
"112",112,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:33:45 PDT 2012",0,0,"""wug""","""2""",1,1,"""fep""",1,0,0,0,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,4,"110"
"113",113,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:36:53 PDT 2012",1,1,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,4,"111"
"114",114,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:38:53 PDT 2012",1,1,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""b""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"112"
"115",115,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:40:21 PDT 2012",0,0,"""wug""","""2""",0,0,"""tupa""",1,1,1,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,4,"113"
"116",116,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:48:14 PDT 2012",0,0,"""NA""","""3""",1,0,"""NA""",0,0,0,1,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,4,"114"
"117",117,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 12:53:01 PDT 2012",0,0,"""blicket""","""4""",1,1,"""tupa""",1,0,0,1,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,4,"115"
"118",118,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 13:00:30 PDT 2012",1,1,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""a""",13,"""b""","""correct""","""correct""",0,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"116"
"119",119,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 13:08:11 PDT 2012",1,1,"""blicket""","""2""",1,1,"""fep""",1,0,0,0,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,4,"117"
"120",120,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 13:16:14 PDT 2012",0,0,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,4,"118"
"121",121,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 13:24:15 PDT 2012",0,1,"""tupa""","""4""",1,1,"""fep""",1,1,1,1,"""a""",13,"""c""","""false""","""false""",1,TRUE,1,TRUE,"""d""","[]","""b""",1,1,4,"119"
"122",122,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 13:26:32 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""a""",13,"""b""","""correct""","""correct""",0,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"120"
"123",123,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 13:49:42 PDT 2012",0,0,"""blicket""","""2""",1,1,"""wug""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""d""",0,0,4,"36"
"124",124,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 13:58:08 PDT 2012",0,0,"""NA""","""3""",0,0,"""NA""",0,0,0,1,"""d""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"121"
"125",125,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 14:02:08 PDT 2012",1,1,"""wug""","""4""",1,1,"""tupa""",1,1,1,1,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,4,"122"
"126",126,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 14:13:28 PDT 2012",0,0,"""NA""","""1""",0,0,"""NA""",0,1,0,0,"""a""",13,"""b""","""correct""","""correct""",0,TRUE,1,TRUE,"""c""","[]","""d""",1,0,4,"123"
"127",127,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 14:17:40 PDT 2012",1,1,"""wug""","""2""",1,1,"""tupa""",1,1,1,0,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,4,"43"
"128",128,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 14:42:36 PDT 2012",0,0,"""NA""","""3""",0,0,"""NA""",0,0,0,1,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,4,"124"
"129",129,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 14:54:05 PDT 2012",0,0,"""blicket""","""4""",1,1,"""fep""",1,0,0,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"125"
"130",130,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 15:20:01 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,4,"126"
"131",131,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 15:26:57 PDT 2012",1,0,"""wug""","""2""",0,1,"""fep""",1,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""c""","[]","""d""",0,0,4,"127"
"132",132,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 15:34:43 PDT 2012",1,1,"""NA""","""3""",1,1,"""NA""",0,1,1,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"128"
"133",133,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 15:43:50 PDT 2012",1,1,"""tupa""","""4""",1,1,"""blicket""",1,0,1,1,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,4,"129"
"134",134,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 15:48:18 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""d""",0,0,4,"130"
"135",135,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 15:54:20 PDT 2012",1,0,"""tupa""","""2""",1,1,"""wug""",1,0,0,0,"""d""",13,"""a""","""correct""","""correct""",0,TRUE,0,TRUE,"""c""","[]","""b""",0,0,4,"131"
"136",136,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:36:28 PDT 2012",0,0,"""NA""","""3""",1,0,"""NA""",0,0,0,1,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,4,"132"
"137",137,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:43:43 PDT 2012",1,1,"""tupa""","""4""",1,1,"""wug""",1,1,1,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,4,"133"
"138",138,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:43:57 PDT 2012",1,1,"""fep""","""4""",1,1,"""tupa""",1,1,0,1,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,4,"134"
"139",139,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:50:31 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,4,"135"
"140",140,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:50:34 PDT 2012",0,0,"""NA""","""1""",0,0,"""NA""",0,0,0,0,"""b""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"136"
"141",141,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:51:19 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""b""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"137"
"142",142,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:53:09 PDT 2012",0,1,"""tupa""","""2""",0,1,"""blicket""",1,1,1,0,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,4,"138"
"143",143,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:53:26 PDT 2012",1,1,"""tupa""","""2""",1,1,"""wug""",1,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,4,"139"
"144",144,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:53:35 PDT 2012",0,0,"""blicket""","""2""",1,1,"""tupa""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""d""",0,0,4,"140"
"145",145,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:54:01 PDT 2012",1,1,"""blicket""","""2""",1,1,"""fep""",1,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"141"
"146",146,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:54:55 PDT 2012",1,1,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,4,"142"
"147",147,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:56:13 PDT 2012",0,0,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,4,"143"
"148",148,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:57:05 PDT 2012",1,0,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""b""",13,"""c""","""correct""","""correct""",0,TRUE,0,TRUE,"""d""","[]","""a""",0,0,4,"144"
"149",149,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:56:23 PDT 2012",1,1,"""NA""","""3""",0,0,"""NA""",0,0,0,1,"""d""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""c""","[]","""b""",0,1,4,"145"
"150",150,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:56:57 PDT 2012",0,0,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""d""",0,0,4,"146"
"151",151,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:58:07 PDT 2012",0,0,"""fep""","""4""",1,1,"""wug""",1,1,0,1,"""d""",13,"""b""","""false""","""false""",0,TRUE,0,TRUE,"""c""","[]","""a""",0,0,4,"147"
"152",152,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:58:26 PDT 2012",1,1,"""fep""","""4""",1,1,"""wug""",1,1,1,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,4,"148"
"153",153,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:59:16 PDT 2012",1,1,"""fep""","""4""",1,1,"""blicket""",1,1,1,1,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,4,"149"
"154",154,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:59:14 PDT 2012",1,0,"""wug""","""4""",1,1,"""blicket""",1,1,0,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,4,"150"
"155",155,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:00:02 PDT 2012",0,0,"""fep""","""4""",1,1,"""blicket""",1,0,0,1,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"151"
"156",156,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:59:47 PDT 2012",0,0,"""blicket""","""4""",1,1,"""fep""",1,1,0,1,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,4,"152"
"157",157,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 16:59:55 PDT 2012",1,1,"""tupa""","""4""",1,1,"""wug""",1,1,1,1,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,4,"153"
"158",158,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:01:31 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""c""",13,"""a""","""correct""","""correct""",0,TRUE,0,TRUE,"""b""","[]","""d""",0,0,4,"154"
"159",159,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:01:55 PDT 2012",1,0,"""NA""","""1""",0,1,"""NA""",0,0,0,0,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"155"
"160",160,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:02:31 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""a""","[]","""c""",0,0,4,"156"
"161",161,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:03:02 PDT 2012",1,0,"""NA""","""1""",1,1,"""NA""",0,1,0,0,"""b""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"157"
"162",162,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:02:48 PDT 2012",0,0,"""NA""","""1""",1,0,"""NA""",0,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""c""",0,0,4,"158"
"163",163,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:02:34 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,4,"159"
"164",164,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:03:03 PDT 2012",0,0,"""NA""","""1""",1,0,"""NA""",0,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,4,"160"
"165",165,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:04:06 PDT 2012",0,0,"""tupa""","""2""",1,1,"""blicket""",1,0,0,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,4,"161"
"166",166,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:04:17 PDT 2012",0,0,"""tupa""","""2""",1,1,"""wug""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,4,"162"
"167",167,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:05:47 PDT 2012",0,0,"""blicket""","""2""",1,1,"""wug""",1,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,4,"163"
"168",168,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:06:10 PDT 2012",0,0,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,4,"164"
"169",169,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:07:42 PDT 2012",1,1,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""a""",0,0,4,"165"
"170",170,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:08:15 PDT 2012",0,0,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,4,"166"
"171",171,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:09:51 PDT 2012",0,1,"""blicket""","""2""",1,1,"""tupa""",1,0,0,0,"""b""",13,"""a""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""c""",0,0,4,"167"
"172",172,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:10:15 PDT 2012",0,0,"""blicket""","""2""",1,1,"""wug""",1,0,0,0,"""d""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"168"
"173",173,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:11:54 PDT 2012",0,0,"""blicket""","""2""",1,0,"""fep""",1,0,0,0,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,4,"169"
"174",174,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:12:39 PDT 2012",1,1,"""NA""","""3""",1,1,"""NA""",0,0,0,1,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"4"
"175",175,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:13:43 PDT 2012",0,0,"""NA""","""3""",0,0,"""NA""",0,0,0,1,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""b""",0,0,4,"170"
"176",176,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:15:23 PDT 2012",0,0,"""tupa""","""4""",1,0,"""wug""",1,0,0,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,0,TRUE,"""a""","[]","""b""",0,0,4,"171"
"177",177,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:15:28 PDT 2012",0,0,"""blicket""","""4""",1,0,"""fep""",1,0,0,1,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,4,"172"
"178",178,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:14:25 PDT 2012",0,1,"""blicket""","""4""",1,1,"""tupa""",1,0,0,1,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"173"
"179",179,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:16:54 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,4,"174"
"180",180,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:16:17 PDT 2012",0,0,"""wug""","""4""",1,1,"""blicket""",1,0,0,1,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,4,"175"
"181",181,"2PAV7WGKCCVL4WIAZ8DHGPQ5PSDT3R","Mon Apr 16 17:17:37 PDT 2012",0,0,"""NA""","""1""",1,1,"""NA""",0,0,0,0,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,4,"176"
